RAW_WORD,NORMALIZED_WORD,FREQUENCY,RANK,MEANING_ID,WORD_TYPE,IS_KRAMA
cethèk,CETHEK,14,1277,dangkal,Kata Sifat,
dadak,DADAK,14,1278,"harus, terpaksa",Kata Benda,
udur,UDUR,14,1279,berdebat,Kata Kerja,
njangan,NJANGAN,14,1280,"menyayur, memasak sayur",Kata Kerja,
aruh-aruh,ARUH-ARUH,14,1281,menyapa,Kata Kerja,
obong,OBONG,14,1282,bakar,Kata Kerja,
dhimas,DHIMAS,14,1283,panggilan untuk adik,,
amis,AMIS,14,1284,anyir,Kata Sifat,
cancut,CANCUT,14,1285,siap untuk bekerja,,
guyub,GUYUB,14,1286,rukun damai,Kata Sifat,
cures,CURES,14,1287,habis/tertumpas; mati,Kata Sifat,
wangkal,WANGKAL,14,1288,keras kepala,Kata Keadaan,
bantala,BANTALA,14,1289,tanah,Kata Benda,
tepak,TEPAK,14,1290,"tepat, pas, sesuai",Kata Sifat,
tekuk,TEKUK,14,1291,lipat,Kata Kerja,
angluh,ANGLUH,14,1292,dengan penuh rasa tidak berdaya mengahadapi situasi yang ada,Kata Keadaan,
wingènané,WINGENANE,14,1293,dua hari yang lalu/selumbari,,
cemplang,CEMPLANG,14,1294,"tidak sedap/kurang pas (mis. nada, rasa; hambar; kurang bumbu",Kata Sifat,
cingak,CINGAK,14,1295,"terkejut karena heran, kecele",Kata Sifat,
koncatan,KONCATAN,14,1296,"kehilangan (sesuatu yang bersifat abstrak). Misalkan ""koncatan"" wahyu. Atau ""koncatan"" nyawa. Kalau untuk 'kehilangan' sesuatu benda biasa (yang dapat dilihat dengan indera penglihatan), yang digunakan adalah ""kelangan"".",,
ajag,AJAG,14,1297,"sejenis anjing hutan/anjing liar, srigala",Kata Benda,
nyogok,NYOGOK,14,1298,mengunci,,
lambaran,LAMBARAN,14,1299,dasar/alas,,
maras,MARAS,14,1300,paru (untuk unggas),,
paro,PARO,14,1301,"paruh, separuh",Kata Sifat,
warak,WARAK,14,1302,badak,Kata Benda,
glagah,GLAGAH,14,1303,tangkai bunga tebu,,
mliwis,MLIWIS,14,1304,salah satu jenis burung,,
bena,BENA,14,1305,banjir,Kata Benda,
baut,BAUT,14,1306,"pintar, trampil; baut",Kata Sifat,
belik,BELIK,14,1307,sumber air,Kata Benda,
besus,BESUS,14,1308,pandai; trampil,Kata Sifat,
pupur,PUPUR,14,1309,bedak,Kata Benda,
lutung,LUTUNG,14,1310,sejenis kera,Kata Benda,
gapuk,GAPUK,14,1311,rapuh dimakan usia (untuk kayu,Kata Sifat,
climèn,CLIMEN,14,1312,"kecil-kecilan, sederhana",,
brojol,BROJOL,14,1313,keluar sebelum waktunya; keluar dari bungkusan,Kata Kerja,
umbul-umbul,UMBUL-UMBUL,14,1314,bendera,Kata Benda,
gebug,GEBUG,14,1315,hantam badan dengan benda keras; pemukul besar,Kata Kerja,
klumah,KLUMAH,14,1316,jatuh terlentang,,
dhadhal,DHADHAL,14,1317,runtuh terbawa arus air,Kata Sifat,
kenthongan,KENTHONGAN,14,1318,kentongan,,
uwi,UWI,14,1319,talas,Kata Benda,
gangsar,GANGSAR,14,1320,lancar,Kata Keadaan,
gegana,GEGANA,14,1321,angkasa,Kata Benda,
canthèl,CANTHEL,14,1322,sejenis jagung,,
isis,ISIS,14,1323,sejuk terkena semilir angin,Kata Sifat,
wastra,WASTRA,14,1324,laut,Kata Benda,
dika,DIKA,13,1325,kamu,,
keluwen,KELUWEN,13,1326,kelaparan,Kata Sifat,
ngusapi,NGUSAPI,13,1327,mengusapi,Kata Kerja,
rebat,REBAT,13,1328,rebut,,Krama
jemuwah,JEMUWAH,13,1329,jumat,Kata Benda,
ngemut,NGEMUT,13,1330,menghisaap,Kata Kerja,
lapangan,LAPANGAN,13,1331,tanah lapangan/lapangan sepak bola,,
colong,COLONG,13,1332,curi,,
jenengan,JENENGAN,13,1333,amda,Kata Benda,
lésus,LESUS,13,1334,angin lesus,,
regejegan,REGEJEGAN,13,1335,"bertengkar, berselisih",,
ambyar,AMBYAR,13,1336,buyar,Kata Kerja,
gregeten,GREGETEN,13,1337,jengkel,,
telak,TELAK,13,1338,langit-langit,,
crah,CRAH,13,1339,bercerai; saling bermusuhan,Kata Keadaan,
dhodhok,DHODHOK,13,1340,jongkok,,
