Frequency Rank,Javanese,Indonesian,Part of Speech,IPA,Audio,example sentence 1,example sentence 2,Is Krama,note
229,kagèt,terkejut,Kata Sifat,,,,,,
230,godhong,daun,Kata Benda,,,,,,
231,alas,hutan,Kata Benda,,,,,,
232,alus,halus,Kata Sifat,,,,,,
233,jalaran,penyebab,Kata Benda,,,,,,
234,ingsun,saya,Kata Benda,,,,,,
235,watu,batu,Kata Benda,,,,,,
236,wadhah,wadah,Kata Benda,,,,,,
237,anyar,baru; [[nganyari,Kata Sifat,,,,,,
238,udan,hujan,Kata Benda,,,,,,
239,piranti,peralatan,Kata Benda,,,,,,
240,niku,itu,,,,,,Krama,
241,wedi,takut,Kata Sifat,,,,,,
242,wétan,timur,,,,,,,
243,wengi,malam,Kata Keadaan,,,,,,
244,rumangsa,merasa dalam hati,,,,,,,
245,lali,Lupa,Kata Sifat,,,,,,
246,nyambut,meminjam,,,,,,,
247,cetha,jelas,Kata Keadaan,,,,,,
248,sikil,kaki,Kata Benda,,,,,,
249,béda,goda,,,,,,,
250,lungguh,duduk,Kata Kerja,,,,,,
251,apik,"baik, bagus",Kata Sifat,,,,,,
252,manah,hati / perasaan,,,,,,,
253,damel,membuat,Kata Kerja,,,,,Krama,
254,awak,"badan, tubuh",Kata Benda,,,,,,
255,badan,diri,Kata Benda,,,,,,
256,kebak,penuh,Kata Sifat,,,,,,
257,gamelan,alat musik Jawa,Kata Benda,,,,,,
258,klambi,baju,Kata Benda,,,,,,
259,meneng,diam,,,,,,,
260,amba,lebar/luas,Kata Sifat,,,,,,
261,agama,besar; agung,Kata Benda,,,,,,
262,nyawang,melihat,,,,,,,
263,biyèn,dahulu,,,,,,,
264,wagé,salah satu hari pasaran Jawa,,,,,,,
265,patih,wakil raja,Kata Benda,,,,,,
266,tuku,beli,Kata Kerja,,,,,,
267,endi,mana,Kata Benda,,,,,,
268,pring,bambu,Kata Benda,,,,,,
269,lenga,minyak,,,,,,,
270,naté,pernah,,,,,,,
271,nemu,menemukan,Kata Kerja,,,,,,
272,munggah,naik,Kata Kerja,,,,,,
273,panjenengan,Anda / kamu / engkau (lebih sopan),,,,,,,
274,nglakoni,"menjalani, melakukan",Kata Kerja,,,,,,
275,jeneng,nama,Kata Benda,,,,,,
276,kahanan,suasana / keadaan,,,,,,,
277,bapa,"bapak, ayah",Kata Benda,,,,,,
278,lumrah,"umum, wajar, biasa",Kata Sifat,,,,,,
279,jawi,jawa,Kata Benda,,,,,,
280,kana,sana,,,,,,,
281,awèh,beri,,,,,,,
282,aji,"nilai; harga, berharga",Kata Benda,,,,,,
283,éling,"ingat, sadar",,,,,,,
284,awan,siang,Kata Benda,,,,,,
285,gendhing,musik Jawa; lagu pada gamelan,Kata Benda,,,,,,
286,gendhis,gula,Kata Benda,,,,,Krama,
287,mlayu,lari; [[mlayu sipat kuping,,,,,,,
288,niki,ini,,,,,,Krama,
289,bojo,suami/istri,Kata Benda,,,,,,
290,kanca,teman / kawan,Kata Benda,,,,,,
291,enték,habis,,,,,,,
292,wesi,besi,Kata Benda,,,,,,
293,cedhak,dekat,Kata Sifat,,,,,,
294,lintang,bintang,,,,,,,
295,lor,utara,Kata Keadaan,,,,,,
296,angèl,"sukar, sulit, tidak mudah",,,,,,,
297,hyang,dewa,Kata Benda,,,,,,
298,uwis,sudah,Kata Keadaan,,,,,,
299,bèn,biar,,,,,,,
300,rembug,musyawarah;berkumpul;huddle,,,,,,,
301,arsa,akan; depan,Kata Keadaan,,,,,,
302,donya,dunia,,,,,,,
303,prau,"perahu, kapal",Kata Benda,,,,,,
304,manggon,bertempat tinggal,Kata Kerja,,,,,,
305,isin,rasa malu,Kata Benda,,,,,,
306,wanita,"wanita, perempuan",Kata Benda,,,,,,
307,wondene,"sedangkan, dalam hal.....",Kata Sambung,,,,,Krama,
308,rekasa,"susah, sengsara, banyak kesulitan",,,,,,,
309,éndah,indah,,,,,,,
310,embuh,entah,Kata Seru,,,,,,
311,wanda,badan,Kata Benda,,,,,,
312,nandhang,menderita / dilanda,Kata Sifat,,,,,Krama,
313,kenceng,banter,,,,,,,
314,babagan,tentang,Kata Sambung,,,,,,
315,angger,"asal, asalkan",Kata Keadaan,,,,,,
316,abot,berat,Kata Sifat,,,,,,
317,éntuk,"dapat, boleh",,,,,,,
318,wédang,air matang; minuman hangat,,,,,,,
319,klebu,masuk,,,,,,,
