Frequency Rank,Javanese,Indonesian,Part of Speech,IPA,Audio,example sentence 1,example sentence 2,Is Krama,note
1117,jenthik,kelingking,Kata Benda,,,,,,
1118,sikut,siku,,,,,,,
1119,kombor,terlalu besar (untuk pakaian),,,,,,,
1120,wanara,kera,Kata Benda,,,,,,
1121,bingar,"ceria, cerah",Kata Sifat,,,,,,
1122,ical,hilang,Kata Sifat,,,,,Krama,
1123,alot,kenyal susah di potong,Kata Sifat,,,,,,
1124,wara-wara,pengumuman,Kata Benda,,,,,,
1125,ngulu,menelan,Kata Kerja,,,,,,
1126,bendhé,gong kecil,,,,,,,
1127,ngasah,mengasah; menghitung porsi,Kata Kerja,,,,,,
1128,wadul,mengadu (dalam omongan); melapor,Kata Kerja,,,,,,
1129,wakul,bakul/tempat nasi,Kata Benda,,,,,,
1130,atis,"dingin (untuk hawa, udara",Kata Sifat,,,,,,
1131,amèk,mencari,,,,,,,
1132,gandrung,tergila-gila,,,,,,,
1133,dhoyong,miring,Kata Sifat,,,,,,
1134,mingset,bergeser/ susut,,,,,,,
1135,duduh,kuah,Kata Benda,,,,,,
1136,wanodya,wanita,Kata Benda,,,,,,
1137,bendha,nama pohon,Kata Benda,,,,,,
1138,wedhak,bedak,Kata Benda,,,,,,
1139,buthek,keruh,,,,,,,
1140,gagang,tangkai,Kata Benda,,,,,,
1141,jawah,hujan,Kata Benda,,,,,,
1142,wandé,warung,,,,,,,
1143,ngudhari,mengurai/melepas,Kata Kerja,,,,,,
1144,galengan,jalur pembatas petak sawah,Kata Benda,,,,,,
1145,bokor,mangkuk besar,Kata Benda,,,,,,
1146,wadhuk,bendungan,Kata Benda,,,,,,
1147,beksa,tari,Kata Benda,,,,,,
1148,juwèh,suka memberikan komentar tentang urusan orang lain,,,,,,,
1149,githok,"belakang leher, tengkuk",Kata Benda,,,,,,
1150,cabar,kehilangan arti,Kata Sifat,,,,,,
1151,wudhar,terurai,Kata Kerja,,,,,,
1152,lempeng,Lurus,,,,,,,
1153,cabé,nama rempah untuk jamu; cabai,Kata Benda,,,,,,
1154,olah-olah,masak,,,,,,,
1155,rekaos,lihat rekasa,,,,,,Krama,
1156,agem,pakai,Kata Kerja,,,,,,
1157,gèsèh,berbeda; tidak pas,,,,,,,
1158,garu,alat penggaruk tanah; alat meratakan tanah di sawah dengan menggunakan tenaga ternak (kerbau atau sapi,Kata Benda,,,,,,
1159,cidhuk,gayung,Kata Benda,,,,,,
1160,enek,mual,Kata Sifat,,,,,,
1161,unta,onta,Kata Benda,,,,,,
1162,keselak,tersedak,,,,,,,
1163,mlinjo,bahan baku emping; melinjo,Kata Benda,,,,,,
1164,ina,hina,Kata Sifat,,,,,,
1165,bandar,"agen besar, cukong; botoh, pengumpul taruhan dalam perjudian",Kata Benda,,,,,,
1166,tenger,tanda,Kata Benda,,,,,,
1167,melar,membesar atau melebar,,,,,,,
1168,wisuh,basuh tangan/kaki,Kata Kerja,,,,,,
1169,wiron,bagian dari kain panjang yang dilipat memanjang bersusun yang akan diletakkan di bagian terluar di depan pada saat kain jarik dikenakan,Kata Benda,,,,,,
1170,esthi,latih; pelajari,Kata Kerja,,,,,,
1171,colok,penerangan; obor,Kata Benda,,,,,,
1172,ulu,telan,Kata Kerja,,,,,,
1173,lobok,kebesaran/kegedean,,,,,,,
1174,larik,baris,,,,,,,
1175,rebah,roboh,,,,,,Krama,
1176,ndungkap,hampir tercapai,,,,,,,
1177,muléh,pulang,,,,,,,
1178,mringis,meringis,,,,,,,
1179,bungkus,"bungkus, kemasan",Kata Benda,,,,,,
1180,telek,tai ayam,Kata Benda,,,,,,
1181,luber,meluber,Kata Sifat,,,,,,
1182,remeng-remeng,samar/remang-remang,,,,,,,
1183,coplok,"tanggal, cabut, lepas, copot",Kata Sifat,,,,,,
1184,klelep,tenggelam,,,,,,,
1185,bebener,kebenaran,,,,,,,
1186,angslup,tenggelam,Kata Kerja,,,,,,
1187,anut,ikut; [[anut-grubyuk,,,,,,,
1188,buntu,"buntu, tidak tembus",Kata Sifat,,,,,,
1189,barung,besar; utama,Kata Sifat,,,,,,
1190,iringan,samping,Kata Keadaan,,,,,,
1191,lethek,ampas cairan (misal pada minyak goreng atau kopi),,,,,,,
1192,jalak,nama burung,Kata Benda,,,,,,
1193,gerang,dewasa,Kata Sifat,,,,,,
1194,anjlog,turun dari ketinggian tertentu dengan kecepatan tinggi,Kata Kerja,,,,,,
1195,epek-epek,telapak tangan,,,,,,,
1196,cengkorongan,"pola, bentuk dasar, tidak detil",,,,,,,
1197,klambu,gorden,Kata Benda,,,,,,
1198,gori,nangka muda,Kata Benda,,,,,,
1199,balang,lempar,Kata Kerja,,,,,,
1200,beya,biaya,Kata Benda,,,,,,
1201,canggah,keturunan ke 5,,,,,,,
1202,bebana,permintaan sebagai syarat,Kata Benda,,,,,,
1203,cakar,; kuku tajam yang biasa pada hewan karnivora; cakar,Kata Benda,,,,,,
1204,dhadhung,tali,Kata Benda,,,,,,
1205,cuwil,mengambil sebagian kecil,Kata Kerja,,,,,,
1206,pucung,biji kluwak,Kata Benda,,,,,,
1207,watek,watak,Kata Benda,,,,,,
1208,warah,tunjuk/ajar; berkata,Kata Kerja,,,,,,
1209,joglo,salah satu arsitektur rumah Jawa,Kata Benda,,,,,,
1210,godhog,rebus,Kata Kerja,,,,,,
1211,kemayu,genit [perempuan,Kata Sifat,,,,,,
1212,aleman,manja,Kata Sifat,,,,,,
1213,bayem,bayam,Kata Benda,,,,,,
1214,agèk,"sedang, lagi",,,,,,,
1215,jejuluk,"panggilan, sebutan",Kata Benda,,,,,,
1216,mleset,hiperaktif,Kata Sifat,,,,,,
1217,binarung,seiring; diiringi,Kata Keadaan,,,,,,
1218,banyak,angsa,Kata Sifat,,,,,,
1219,gambir,buah pinang yang sudah diolah,Kata Benda,,,,,,
1220,ajang,"wadah, tempat makan (piring)",Kata Benda,,,,,,
1221,ilir,kipas,,,,,,,
1222,jangka,jangka; ramalan,Kata Benda,,,,,,
1223,ambrol,runtuh,Kata Kerja,,,,,,
1224,ndadi,menjadi-jadi,Kata Sifat,,,,,,
1225,wetah,utuh,Kata Sifat,,,,,,
1226,gering,sakit,Kata Sifat,,,,,,
1227,pohung,singkong,Kata Benda,,,,,,
1228,wayu,"basi; lama, lewat batas waktu (untuk makanan atau berita)",Kata Sifat,,,,,,
1229,ambyur,mencemplungkan diri ke dalam air,Kata Kerja,,,,,,
1230,kètèk,kotoran mata; belek,Kata Benda,,,,,,
1231,apem,apam,Kata Benda,,,,,,
1232,congor,"hidung binatang berkaki empat, mulut binatang (kasar), moncong",Kata Benda,,,,,,
1233,wos,beras,Kata Benda,,,,,Krama,
1234,bong,makam Tionghoa,Kata Benda,,,,,,
1235,dhedhes,mendesak seseorang dengan pertanyaan agar ybs mengaku/membuka rahasia,Kata Kerja,,,,,,
1236,umbel,ingus,Kata Benda,,,,,,
1237,lalèn,pelupa/gampang lupa,Kata Sifat,,,,,,
1238,getas,retas; mudah patah,Kata Sifat,,,,,,
1239,ili,"aliran (air, darah, dsb.)",Kata Benda,,,,,,
1240,kitir,surat,Kata Benda,,,,,,
1241,lelayu,berita kematian,,,,,,,
1242,wirid,kata atau kalimat pujian kepada Allah yang dibaca berulang-ulang,Kata Kerja,,,,,,
1243,banda,mengikat kedua tangan ke belakang,Kata Kerja,,,,,,
1244,mriku,di situ,,,,,,Krama,
1245,dora,tidak terus terang,Kata Keadaan,,,,,,
1246,alu,antan,Kata Benda,,,,,,
1247,nyokot,menggigit,Kata Kerja,,,,,,
1248,gasik,awal,Kata Keadaan,,,,,,
1249,nuku,(telah) membeli,Kata Kerja,,,,,,
1250,nglarani,menyakiti,Kata Kerja,,,,,,
1251,pathok,kayu atau beton yang di tanam sebagai penanda,Kata Benda,,,,,,
1252,iguh,upaya; cara,Kata Benda,,,,,,
1253,kirik,anak anjing,Kata Benda,,,,,,
1254,anggit,"reka, dirasakan, dikira, anggap",Kata Kerja,,,,,,
1255,congkrah,tidak rukun,Kata Sifat,,,,,,
1256,babu,perempuan pembantu,Kata Benda,,,,,,
1257,lungkrah,"capek, lelah, payah",Kata Sifat,,,,,,
1258,lembah,sopan,,,,,,,
1259,wuwung,bubungan atap,Kata Benda,,,,,,
1260,winengku,disunting; diperistri,Kata Kerja,,,,,,
1261,ayom,perlindungan,Kata Kerja,,,,,,
1262,ijol,tukar,Kata Kerja,,,,,,
1263,caturan,bercakap-cakap,Kata Kerja,,,,,,
1264,wanadri,hutan rimba,Kata Benda,,,,,,
1265,buntung,hilang/patah bagian ujungnya,Kata Sifat,,,,,,
1266,bandhang,besar (banjir bandhang),,,,,,,
1267,garudha,"garuda, nama burung dalam mitos Jawa ( elang",Kata Benda,,,,,,
1268,gudèl,anak kerbau,,,,,,,
1269,gitik,memukul dengan sebilah kayu kecil,,,,,,,
1270,wudel,pusar,Kata Benda,,,,,,
1271,usada,obat,Kata Benda,,,,,,
1272,apura,maaf,Kata Benda,,,,,,
1273,wéwé,hantu perempuan,Kata Benda,,,,,,
1274,cikal,"calon, bibit kelapa",Kata Benda,,,,,,
1275,nelangsa,sedih,Kata Sifat,,,,,,
1276,melas,kasihan; [[memelas,,,,,,,
1277,cethèk,dangkal,Kata Sifat,,,,,,
1278,dadak,"harus, terpaksa",Kata Benda,,,,,,
1279,udur,berdebat,Kata Kerja,,,,,,
1280,njangan,"menyayur, memasak sayur",Kata Kerja,,,,,,
1281,aruh-aruh,menyapa,Kata Kerja,,,,,,
1282,obong,bakar,Kata Kerja,,,,,,
1283,dhimas,panggilan untuk adik,,,,,,,
1284,amis,anyir,Kata Sifat,,,,,,
1285,cancut,siap untuk bekerja,,,,,,,
1286,guyub,rukun damai,Kata Sifat,,,,,,
1287,cures,habis/tertumpas; mati,Kata Sifat,,,,,,
1288,wangkal,keras kepala,Kata Keadaan,,,,,,
1289,bantala,tanah,Kata Benda,,,,,,
1290,tepak,"tepat, pas, sesuai",Kata Sifat,,,,,,
1291,tekuk,lipat,Kata Kerja,,,,,,
1292,angluh,dengan penuh rasa tidak berdaya mengahadapi situasi yang ada,Kata Keadaan,,,,,,
1293,wingènané,dua hari yang lalu/selumbari,,,,,,,
1294,cemplang,"tidak sedap/kurang pas (mis. nada, rasa; hambar; kurang bumbu",Kata Sifat,,,,,,
1295,cingak,"terkejut karena heran, kecele",Kata Sifat,,,,,,
1296,koncatan,"kehilangan (sesuatu yang bersifat abstrak). Misalkan ""koncatan"" wahyu. Atau ""koncatan"" nyawa. Kalau untuk 'kehilangan' sesuatu benda biasa (yang dapat dilihat dengan indera penglihatan), yang digunakan adalah ""kelangan"".",,,,,,,
1297,ajag,"sejenis anjing hutan/anjing liar, srigala",Kata Benda,,,,,,
1298,nyogok,mengunci,,,,,,,
1299,lambaran,dasar/alas,,,,,,,
1300,maras,paru (untuk unggas),,,,,,,
1301,paro,"paruh, separuh",Kata Sifat,,,,,,
1302,warak,badak,Kata Benda,,,,,,
1303,glagah,tangkai bunga tebu,,,,,,,
1304,mliwis,salah satu jenis burung,,,,,,,
1305,bena,banjir,Kata Benda,,,,,,
1306,baut,"pintar, trampil; baut",Kata Sifat,,,,,,
1307,belik,sumber air,Kata Benda,,,,,,
1308,besus,pandai; trampil,Kata Sifat,,,,,,
1309,pupur,bedak,Kata Benda,,,,,,
1310,lutung,sejenis kera,Kata Benda,,,,,,
1311,gapuk,rapuh dimakan usia (untuk kayu,Kata Sifat,,,,,,
1312,climèn,"kecil-kecilan, sederhana",,,,,,,
1313,brojol,keluar sebelum waktunya; keluar dari bungkusan,Kata Kerja,,,,,,
1314,umbul-umbul,bendera,Kata Benda,,,,,,
1315,gebug,hantam badan dengan benda keras; pemukul besar,Kata Kerja,,,,,,
1316,klumah,jatuh terlentang,,,,,,,
1317,dhadhal,runtuh terbawa arus air,Kata Sifat,,,,,,
1318,kenthongan,kentongan,,,,,,,
1319,uwi,talas,Kata Benda,,,,,,
1320,gangsar,lancar,Kata Keadaan,,,,,,
1321,gegana,angkasa,Kata Benda,,,,,,
1322,canthèl,sejenis jagung,,,,,,,
1323,isis,sejuk terkena semilir angin,Kata Sifat,,,,,,
1324,wastra,laut,Kata Benda,,,,,,
1325,dika,kamu,,,,,,,
1326,keluwen,kelaparan,Kata Sifat,,,,,,
1327,ngusapi,mengusapi,Kata Kerja,,,,,,
1328,rebat,rebut,,,,,,Krama,
1329,jemuwah,jumat,Kata Benda,,,,,,
1330,ngemut,menghisaap,Kata Kerja,,,,,,
1331,lapangan,tanah lapangan/lapangan sepak bola,,,,,,,
1332,colong,curi,,,,,,,
1333,jenengan,amda,Kata Benda,,,,,,
1334,lésus,angin lesus,,,,,,,
1335,regejegan,"bertengkar, berselisih",,,,,,,
1336,ambyar,buyar,Kata Kerja,,,,,,
1337,gregeten,jengkel,,,,,,,
1338,telak,langit-langit,,,,,,,
1339,crah,bercerai; saling bermusuhan,Kata Keadaan,,,,,,
1340,dhodhok,jongkok,,,,,,,
1341,bajing,tupai,Kata Benda,,,,,,
1342,gudheg,masakan terbuat dari nangka muda,Kata Benda,,,,,,
1343,jangkar,"memanggil nama, tanpa sebutan penghormatan",Kata Kerja,,,,,,
1344,blorok,bintik-bintik pada bulu ayam; bulunya berbintik hitam putih (untuk ayam betina),Kata Sifat,,,,,,
1345,ulem,undang,Kata Kerja,,,,,,
1346,ladak,nakal,,,,,,,
1347,pancer,tengah,,,,,,Krama,
1348,wadhag,jasmani,Kata Benda,,,,,,
1349,batang,tebak,Kata Kerja,,,,,,
1350,kimpul,ubi talas,Kata Benda,,,,,,
1351,tungkak,tumit,Kata Benda,,,,,,
1352,branta,asmara,Kata Benda,,,,,,
1353,dahuru,huru-hara,Kata Benda,,,,,,
1354,kempès,kempes,,,,,,,
1355,gaman,senjata,Kata Benda,,,,,,
1356,cathok,"penjepit, ikat pinggang",,,,,,,
1357,wiyosan,kelahiran,Kata Benda,,,,,,
1358,kèpèt,kotoran di mata ketika bangun tidur (lihat lodhok),,,,,,,
1359,klentheng,biji kapok randu,,,,,,,
1360,tambak,tebat,,,,,,,
1361,rèncèk,ranting pepohonan untuk bahan bakar,,,,,,,
1362,udani,telanjangi,Kata Kerja,,,,,,
1363,anggarbini,hamil,Kata Kerja,,,,,,
1364,cakepan,lirik lagu,Kata Benda,,,,,,
1365,ageman,pakaian,Kata Benda,,,,,,
1366,ribet,banyak hambatan,,,,,,,
1367,umpak,"alas tiang rumah, biasanya terbuat dari batu",Kata Benda,,,,,,
1368,anggon,tempat,Kata Kerja,,,,,,
1369,wijik,mencuci tangan atau kaki,Kata Kerja,,,,,,
1370,welèh,balasan setimpal,,,,,,,
1371,angop,menguap,Kata Kerja,,,,,,
1372,dubang,ludah merah/ludah orang yang makan sirih,Kata Benda,,,,,,
1373,kotang,BH,Kata Benda,,,,,,
1374,gething,benci,Kata Kerja,,,,,,
1375,bahu,100 m²,Kata Benda,,,,,,
1376,bajingan,"bajingan (penjahat), sopir gerobak",,,,,,,
1377,wewaler,pantangan,Kata Benda,,,,,,
1378,nglimpé,mencari kelengahan seseorang,,,,,,,
1379,babaran,"bersalin, melahirkan",Kata Kerja,,,,,,
1380,wayuh,diduakan (oleh suami),Kata Kerja,,,,,,
1381,gendhuk,panggilan untuk anak perempuan,Kata Benda,,,,,,
1382,mlesat,meluncur dengan sangat cepat,,,,,,,
1383,andika,anda,Kata Benda,,,,,,
1384,omber,luas,Kata Sifat,,,,,,
1385,tanem,tanam,Kata Kerja,,,,,Krama,
1386,ambyuk,menjatuhkan diri,Kata Kerja,,,,,,
1387,banger,bau busuk (misalnya dari air keruh),Kata Sifat,,,,,,
1388,dhèndhèng,daging dikeringkan dengan bumbu tertentu,,,,,,,
1389,bebed,kain panjang yang dipakai pria,Kata Benda,,,,,,
1390,buntel,bungkus,Kata Kerja,,,,,,
1391,boga,pangan,Kata Benda,,,,,,
1392,cepèr,rata,,,,,,,
1393,geber,layar penutup panggung,Kata Kerja,,,,,,
1394,wales,balas,Kata Kerja,,,,,,
1395,kléyang,melayang-layang,,,,,,,
1396,kemu,kumur,,,,,,,
1397,oncor,obor,,,,,,,
1398,limpung,ubi goring,,,,,,,
1399,werdi,arti,Kata Benda,,,,,,
1400,sambang,menjenguk,,,,,,,
1401,anggara,selasa,Kata Benda,,,,,,
1402,yamadipati,dewa kematian,Kata Benda,,,,,,
1403,panti,tempat,Kata Benda,,,,,,
1404,jajah,menguasai wilayah negara lain,Kata Kerja,,,,,,
1405,kluthuk,salah satu jenis buah jambu,,,,,,,
1406,umbul,gambar,Kata Benda,,,,,,
1407,gaplek,singkong yang dikeringkan,Kata Benda,,,,,,
1408,marai,mengajarkan/ memberi tahu; berakibat,,,,,,,
1409,buntet,buntu; tidak berongga,Kata Sifat,,,,,,
1410,sedhèrèk,saudara,,,,,,,
1411,ombe,minum,Kata Kerja,,,,,,
1412,ucap,kata,Kata Kerja,,,,,,
1413,kemproh,jorok,,,,,,,
1414,jengkol,jering,Kata Benda,,,,,,
1415,kisinan,malu (yang teramat sangat),Kata Sifat,,,,,,
1416,mlèrok,mengalihkan pandangan/ melirik,,,,,,,
1417,cluluk,"tiba-tiba berkata, nyeletuk",Kata Kerja,,,,,,
1418,getir,rasa antara pahit menusuk,Kata Sifat,,,,,,
1419,amem,melempem,Kata Sifat,,,,,,
1420,lumer,"halus, lembut seperti lumpur",Kata Sifat,,,,,,
1421,abyor,bertebaran memenuhi (mis. bintang bertebaran memenuhi langit),Kata Sifat,,,,,,
1422,kanda,bilang / mengatakan / lapor,Kata Kerja,,,,,,
1423,apu,kapur sirih;,Kata Benda,,,,,,
1424,entut,kentut,Kata Benda,,,,,,
1425,gandhul,"tergantung (untuk benda yang berat; menggantung, buah pepaya",Kata Keadaan,,,,,,
1426,bésan,orang tua dari menantu,,,,,,,
1427,éndha,berkelit,,,,,,,
1428,bathang,bangkai *[[mbathang,Kata Benda,,,,,,
1429,pethak,putih,Kata Sifat,,,,,Krama,
1430,ider,berjualan berkeliling,Kata Kerja,,,,,,
1431,arip,mengantuk; [[karipan,,,,,,Krama,
1432,winarah,terjadi,Kata Kerja,,,,,,
1433,anèm,muda,,,,,,,
1434,landep,tajam,,,,,,,
1435,gegedhug,"pimpinan (untuk kelompok penjahat, pembuat onar",Kata Benda,,,,,,
1436,ugungan,senang dipuji,Kata Sifat,,,,,,
1437,ambah,"jejak, jelajah, datangi",Kata Kerja,,,,,,
1438,amit,permisi,Kata Kerja,,,,,,
1439,bethèk,pintu pagar,,,,,,,
1440,ancur,air raksa,Kata Benda,,,,,,
1441,dahwèn,suka mencerca,,,,,,,
1442,acung,menunjuk ke atas/unjuk jari,Kata Kerja,,,,,,
1443,warangan,racun (biasanya dipakai untuk melumuri keris),Kata Benda,,,,,,
1444,babat,bagian dalam usus sapi,Kata Benda,,,,,,
1445,timbel,bisul di mata,Kata Benda,,,,,,
1446,bangka,mati (kasar),Kata Kerja,,,,,,
1447,belèk,iris sepanjang garis tengah,,,,,,,
1448,cubluk,bodoh,Kata Sifat,,,,,,
1449,mekrok,mekar,,,,,,,
1450,beton,biji nangka,Kata Benda,,,,,,
1451,damèn,"pohon padi, batang padi",,,,,,,
1452,silit,dubur,,,,,,,
1453,jadah,nama jajanan dari ketan,Kata Benda,,,,,,
1454,kramat,keramat,,,,,,,
1455,gamel,tukang merawat kuda,Kata Benda,,,,,,
1456,cawet,celana dalam,Kata Benda,,,,,,
1457,inger,geser dengan sedikit mengubah arah,Kata Kerja,,,,,,
1458,mlintir,memelintir,,,,,,,
1459,cawang,"tanda V, centang",Kata Benda,,,,,,
1460,undang,panggil,Kata Kerja,,,,,,
1461,nglambrang,"tidak jelas, tidak fokus",,,,,,,
1462,canthing,"alat untuk membatik, untuk menampung lilin sementara sebagai alat batik tulis sebelum di gambarkan ke selembar kain",Kata Benda,,,,,,
1463,gotong,angkat,Kata Kerja,,,,,,
1464,landhesan,"alas untuk memotong atau mengiris, ganjal",,,,,,,
1465,unjuk,geser naik,Kata Kerja,,,,,,
1466,ingkung,ayam panggang utuh,Kata Benda,,,,,,
1467,gedhèk,dinding dari anyaman bambu,,,,,,,
1468,celuk,panggil,Kata Kerja,,,,,,
1469,gagas,pikir,Kata Kerja,,,,,,
1470,jèwèr,"ditarik telinganya, jewer",,,,,,,
1471,goblog,bodoh,,,,,,,
1472,kluwih,nangka sayur,,,,,,,
1473,édhum,terlindung dari sinar matahari,,,,,,,
1474,anyes,dingin (benda,Kata Sifat,,,,,,
1475,nyoh,kata/partikel yang sepadan dengan 'nih' ketika memberikan sesuatu,,,,,,,
1476,klabakan,"gugup, tergesa-gesa",,,,,,,
1477,cumpèn,"kurang, jauh dari cukup",,,,,,,
1478,angkah,maksud,Kata Benda,,,,,,
1479,bebandan,tawanan,Kata Benda,,,,,,
1480,aras,"cium, bagian paling dalam dari batang pohon pisang",,,,,,,
1481,ngadhang,menghadang,Kata Kerja,,,,,,
1482,ngorok,mengorok,Kata Kerja,,,,,,
1483,kebablasen,"kelewatan, keterusan",Kata Sifat,,,,,,
1484,cengkah,"tidak sefaham, beda pendapat",,,,,,,
1485,cékat-cèket,"segera, sepat",,,,,,,
1486,ontran-ontran,tragedi,,,,,,,
1487,urik,curang,Kata Sifat,,,,,,
1488,bajang,kerdil,Kata Sifat,,,,,,
1489,kandhutan,"kandungan, kehamilan",,,,,,,
1490,umbar,biarkan/lepaskan; dibiarkan bebas,Kata Kerja,,,,,,
1491,moh,tidak mau; ogah,,,,,,,
1492,mboseni,membosankan,,,,,,,
1493,bènten,beda,,,,,,,
1494,carang,ranting,Kata Benda,,,,,,
1495,bengkah,retak,,,,,,,
1496,boyong,pindah,Kata Kerja,,,,,,
1497,ledhok,lebih rendah dari sekelilingnya,,,,,,,
1498,buwang,buang,Kata Kerja,,,,,,
1499,bengkok,tanah yang hak garapnya diberikan kepada lurah sebagai bagian dari fasilitas jabatan,Kata Benda,,,,,,
1500,batih,keluarga,Kata Benda,,,,,,
1501,brukut,terbungkus rapat,Kata Sifat,,,,,,
1502,endog,telur,Kata Benda,,,,,,
1503,pamor,kewibawaan,Kata Benda,,,,,,
1504,gisik,"pantai, pesisir",,,,,,,
1505,adhep,hadap,Kata Kerja,,,,,,
1506,ujur,membujur,Kata Benda,,,,,,
1507,alem,"puji, pujian",Kata Kerja,,,,,,
1508,apek,bau tidak sedap yang berasal dari barang usang atau kamar yang lama tertutup,Kata Sifat,,,,,,
1509,bandhul,"bandul, pemberat",Kata Benda,,,,,,
1510,jujug,langsung menuju,Kata Kerja,,,,,,
1511,blereng,tidak nampak jelas; kabur; rabun,Kata Sifat,,,,,,
1512,bunglon,binatang sejenis tokek yang pandai menyesuaikan warna tubuhnya dengan sekelilingnya untuk perlindungan diri,,,,,,,
1513,brahala,raksasa sebesar gunung; berhala; masalah besar,Kata Benda,,,,,,
1514,brutu,tunggir ayam; kelenjar lemak pada unggas letaknya di atas dubur,Kata Benda,,,,,,
1515,éndhang,gadis padepokan,,,,,,,
1516,duratmaka,pencuri,Kata Benda,,,,,,
1517,kramas,keramas,Kata Kerja,,,,,,
1518,nyandhing,bersama,,,,,,,
1519,jujul,kembalian,Kata Benda,,,,,,
1520,srei,Iri,,,,,,,
1521,nyunggi,menaruh sesuatu di kepala,,,,,,,
1522,gembili,sejenis ubi/talas,Kata Benda,,,,,,
1523,gondhok,bengkak pada kelenjar di leher,Kata Benda,,,,,,
1524,intip,kerak nasi,,,,,,,
1525,hasta,tangan,Kata Benda,,,,,,
1526,cèthok,sendok untuk campuran semen,,,,,,,
1527,osik,gerak,Kata Benda,,,,,,
1528,waca,baca,Kata Kerja,,,,,,
1529,trubus,tumbuh,,,,,,,
1530,tedhas,mampu menggigit,Kata Sifat,,,,,,
1531,ulung,serah,Kata Kerja,,,,,,
1532,tumpak,naik,,,,,,,
1533,cadhong,menadahkan tangan,Kata Kerja,,,,,,
1534,cupu,"wadah kecil, biasanya untuk menyimpan perhiasan",Kata Benda,,,,,,
1535,wuninga,tahu,Kata Sifat,,,,,,
1536,ulap,silau,,,,,,,
1537,sampyuh,mati di ke dua belah pihak dalam pertempuran,,,,,,,
1538,widada,selamat,Kata Sifat,,,,,,
1539,jengkar,"pergi, keluar; pindah, meninggalkan tempat",Kata Kerja,,,,,Krama,
1540,arus,anyir,Kata Sifat,,,,,,
1541,ulet,liat,Kata Sifat,,,,,,
1542,pundhi,mana,,,,,,,
1543,èncèr,cair,,,,,,,
1544,bobok,"kulit makanan gorengan, obat luar herbal tradisional",,,,,,,
1545,mléngos,membuang muka/ memalingkan wajah,,,,,,,
1546,senthir,lampu minyak tanah kecil,,,,,,,
1547,witikna,salah sendiri; mengapa pula,Kata Sambung,,,,,,
1548,dulur,saudara,Kata Benda,,,,,,
1549,blangkemen,tidak bisa bicara mendadak dan sesaat,,,,,,,
1550,mlipir,lewat pinggir,,,,,,,
1551,abab,"hawa mulut, hawa yang keluar dari mulut",Kata Benda,,,,,,
1552,klakep,terdiam mendadak,,,,,,,
1553,lintu,tukar,,,,,,,
1554,ludhes,habis tak tersisa,Kata Sifat,,,,,,
1555,entas,"angkat, ambil",Kata Kerja,,,,,,
1556,bodong,pusar yang menonjol keluar; pusar yang panjangnya lebih dari normal,Kata Sifat,,,,,,
1557,sengak,ucapan yang tidak mengenakkan hati,,,,,,,
1558,mandhap,turun,,,,,,Krama,
1559,nglantur,"melantur, meracau",Kata Kerja,,,,,,
1560,udheng,ikat kepala,Kata Benda,,,,,,
1561,bundhas,"lecet, cedera",Kata Sifat,,,,,,
1562,mrèmbèt,menjalar,,,,,,,
1563,slonjor,duduk dengan meluruskan kaki ke depan,,,,,,,
1564,reksa,Pelihara,,,,,,,
1565,jangga,leher,Kata Benda,,,,,,
1566,idep,bulu mata,Kata Benda,,,,,,
1567,deling,bambu,Kata Benda,,,,,,
1568,gayuh,capai,Kata Kerja,,,,,,
1569,ambleg,"roboh, runtuh",Kata Sifat,,,,,,
1570,bacin,"bau busuk, bau bangkai",Kata Sifat,,,,,,
1571,andaka,banteng,Kata Benda,,,,,,
1572,anting,giwang,,,,,,,
1573,iga,"tulang belikat, iga",Kata Benda,,,,,,
1574,atut,"akrab, jinak",,,,,,,
1575,babah,biar,,,,,,,
1576,bagaskara,matahari,Kata Benda,,,,,,
1577,bandhil,pelontar,,,,,,,
1578,bandhem,palu besar,,,,,,,
1579,bundhet,diberi ikatan mati pada ujungnya,Kata Sifat,,,,,,
1580,brastha,"tumpas, berantas",Kata Kerja,,,,,,
1581,nyandhung,tersandung,,,,,,,
1582,jaé,jahe,,,,,,,
1583,jaladri,lautan,Kata Benda,,,,,,
1584,jodhang,perangkat untuk membawa barang pada upacara lamaran perkawinan,Kata Benda,,,,,,
1585,dhédhé,berjemur,,,,,,,
1586,dhuku,buah duku,,,,,,,
1587,énggok,belok,,,,,,,
1588,kopong,"tidak ada isinya, kosong",,,,,,,
1589,krakal,batu kecil yang lebih besar dari krikil,Kata Benda,,,,,,
1590,growong,berongga,,,,,,,
1591,iler,air liur,Kata Benda,,,,,,
1592,ingu,memelihara (hewan),Kata Kerja,,,,,,
1593,keplèsèt,tergelincir,,,,,,,
1594,mantun,sembuh; (k) sudah,,,,,,,
1595,tumpes,"mati sampai ke akar-akarnya, mati seluruh keluarga (kasar)",,,,,,,
1596,sidhem,"tenang, sepi",,,,,,,
1597,cengkiling,suka memukul,,,,,,,
1598,oyot,akar,Kata Benda,,,,,,
1599,diagem,dianggo (krama),,,,,,Krama,
1600,andhong,"sejenis kereta kuda, delman, andong",Kata Benda,,,,,,
1601,erah,ambil,Kata Kerja,,,,,,
1602,madhang,makan,Kata Kerja,,,,,,
1603,bungkuk,bongkok,,,,,,,
1604,ngakon,menyuruh,Kata Kerja,,,,,,
1605,monggo,silahkan,,,,,,,
